Wavelength (nm)	T01 Chla abs e
611.00	12882
612.00	13037
613.00	13156
614.00	13180
615.00	13177
616.00	13141
617.00	13062
618.00	12839
619.00	12625
620.00	12328
621.00	12071
622.00	11732
623.00	11318
624.00	10898
625.00	10466
626.00	10008
627.00	9571.7
628.00	9155.7
629.00	8851.3
630.00	8605.6
631.00	8463.8
632.00	8368.2
633.00	8275.6
634.00	8231.1
635.00	8260.2
636.00	8364.7
637.00	8572.8
638.00	8915.6
639.00	9389.9
640.00	10101
641.00	11013
642.00	12130
643.00	13470
644.00	15094
645.00	17031
646.00	19394
647.00	22204
648.00	25528
649.00	29420
650.00	33884
651.00	38984
652.00	44755
653.00	50955
654.00	57170
655.00	65684
656.00	71830
657.00	74039
658.00	80273
659.00	84272
660.00	86088
661.00	86296
662.00	84790
663.00	81447
664.00	76780
665.00	70701
666.00	63725
667.00	56496
668.00	49119
669.00	41958
670.00	35123
671.00	29075
672.00	23784
673.00	19350
674.00	15581
675.00	12447
676.00	9992.8
677.00	8033.5
678.00	6457.9
679.00	5224.8
680.00	4270.7
681.00	3507.3
682.00	2918.8
683.00	2447.8
684.00	2072.1
685.00	1772.0
686.00	1527.9
687.00	1335.2
688.00	1177.3
689.00	1047.2
690.00	940.66
691.00	844.93
692.00	770.26
693.00	705.18
694.00	647.79
695.00	606.02
696.00	571.00
697.00	554.43
698.00	516.80
699.00	474.32
700.00	453.85
701.00	440.00
702.00	434.68
703.00	412.20
704.00	391.13
705.00	368.89
706.00	367.47
707.00	379.30
708.00	339.90
709.00	322.98
710.00	330.19
711.00	320.02
712.00	311.26
713.00	310.67
714.00	300.85
715.00	271.62
716.00	258.72
717.00	260.14
718.00	269.14
719.00	245.94
720.00	229.38
721.00	212.57
722.00	213.88
723.00	204.77
724.00	199.09
725.00	189.03
726.00	192.58
727.00	161.93
728.00	171.75
729.00	155.42
730.00	147.02
731.00	152.11
732.00	130.10
733.00	131.64
734.00	131.16
735.00	115.07
736.00	101.23
737.00	103.36
738.00	88.566
739.00	96.730
740.00	105.01
741.00	76.141
742.00	86.791
743.00	88.447
744.00	74.366
745.00	72.118
746.00	72.709
747.00	88.329
748.00	73.774
749.00	74.839
750.00	92.944
751.00	67.858
752.00	44.074
753.00	56.735
754.00	62.060
755.00	37.921
756.00	65.964
757.00	62.770
758.00	57.326
759.00	20.053
760.00	42.299
761.00	38.512
762.00	88.313
763.00	42.772
764.00	49.754
765.00	54.250
766.00	69.183
767.00	84.646
768.00	55.907
769.00	88.329
770.00	23.130
771.00	32.241
772.00	22.656
773.00	30.702
774.00	38.749
775.00	35.554
776.00	39.340
777.00	47.860
778.00	45.139
779.00	54.960
780.00	44.429
781.00	35.672
782.00	55.907
783.00	27.271
784.00	18.278
785.00	29.756
786.00	41.470
787.00	45.849
788.00	50.937
789.00	35.199
790.00	105.86
791.00	32.951
792.00	27.744
793.00	33.424
794.00	64.071
795.00	43.955
796.00	26.665
797.00	15.556
798.00	29.164
799.00	21.473
800.00	18.396
